အဲ	ʼay	ʔoa
ခ္ဍံ	hədɔm	
သကေက်	keak	
ၜီု	bɒm	
ပြေ	pre	pre
ဍုက်	dɜk	
သ္ကဟ်	kɔh	
		
		
		
		
		
		
		
		
		
		
		
		
