эпӗ	ep̬ĕ	ˈebʲ(ɘ)
хӗвел	hĕvel	χʲɘˈʋʲelʲ
уйӑх	ujăh	ˈuj(ə)χ
ҫӑлтӑр	śălt̬ăr	ˈɕŏldər
шыв	šyv	ˈʃɯv
ҫумӑр	śumăr	ˈɕumər
ҫырма	śyrma	ɕɯrˈma
кӳлӗ	külĕ	ˈkʲylʲə
тинӗс	tinĕs	ˈtʲinʲ(ɘ)sʲ
тӑвар	tăvar	t(ə)ˈʋar
чул	čul	ˈtʃul
хӑйӑр	hăjăr	ˈxŏj(ə)r
тусан	tus̬an	tuˈzan
ҫӗр	śĕr	ˈɕʲø̆rʲ
пӗлӗт	pĕlĕt	ˈpʲø̆lʲ(ə)tʲ
тӗтре	tĕtre	tʲətʲˈrʲe
тӳпе	tüp̬e	tʲyˈbʲe
ҫил	śil	ˈɕʲilʲ
юр	jur	ˈjur
пӑр	păr	ˈnŏr
тӗтӗм	tĕt̬ĕm	ˈtʲø̆dʲəmʲ
вут	vut	ˈʋut
кӗл	kĕl	ˈkʲø̆lʲ
ҫун	śun	ɕunˈma
ҫул	śul	ˈɕul
ту	tu	ˈtu
хӗрлӗ	hĕrlĕ	ˈχʲø̆rʲlʲ(ɘ)
симӗс	simĕs	ˈsʲimʲ(ɘ)sʲ
сарӑ	sară	ˈsar(ə)
шурӑ	šură	ˈʃur(ə)
хура	hura	χuˈra
каҫ	kaś	ˈkaɕ
кун	kun	ˈkun
ҫул	śul	ˈɕul
ӑшӑ	ăš̬ă	ˈŏʒ(ə)
сивӗ	sivĕ	ˈsʲiʋʲ(ə)
тулли	tulli	tuˈlːi
ҫӗнӗ	śĕnĕ	ˈɕʲø̆nʲ(ɘ)
кивӗ	kivĕ	kʲiʋʲ(ə)
лайӑх	lajăh	ˈlaj(ə)x
япӑх	jap̬ăh	ˈjab(ə)x
ҫӗрӗк	śĕrĕk	ɕʲø̆rʲ(ə)kʲ
пыльчӑклӑ	pylʹčăklă	ˈpɯlʲtɕʲəklə
тӳрӗ	türĕ	ˈtʲyrʲ(ɘ)
ҫаврака	śavrak̬a	ɕaʋraˈɡa
ҫивӗч	śivĕč	ˈɕʲiʋʲ(ɘ)t͡ʃ
мӑка	măk̬a	m(ə)ˈɡa
яка	jak̬a	ˈjaɡa
йӗпе	jĕp̬e	jʲɘˈbʲe
типӗ	tip̬ĕ	tʲibʲ(ɘ)
тӗрӗс	tĕrĕs	ˈtʲø̆rʲ(ɘ)sʲ
ҫывӑх	śyvăh	ˈɕɯʋ(ə)χ
инҫе	inś̬e	inʲˈɕʲe
сылтӑм	sylt̬ăm	ˈsɯld(ə)m
сулахай	sulah̬aj	sulaˈɣaj
-ра	-ra	ˈra
-ра	-ra	ˈra
-па	-pa	ˈpa
тата	tat̬a	taˈda
-сан	-san	ˈsan
мӗншӗн тесен	mĕnš̬ĕn t̬es̬en	ˈmʲø̆nʲʒʲɘnʲ dʲezʲenʲ
ят	jat	ˈjat
