من‎	man	mæn
سیاه‎	siyâh	siːyɒːh
شب‎	šab	ʃæb
روز‎	ruz	ɾuːz
سال‎	sâl	sɒːl
گرم‎	garm	gæɾm
سرد‎	sard	sæɾd
پر‎	por	poɾ
نو‎	now	now
قدیمی‎	qadimi	ɢædiːmiː
خوب‎	xub	xuːb
بد‎	bad	bæd
فاسد‎	fâsed	fɒːsed
کثیف‎	kasif	kæsiːf
راست‎	râst	ɾɒːst
گرد‎	gerd	geɾd
تیز‎	tiz	tiːz
کند‎	kond	kond
صاف‎	sâf	sɒːf
تر‎	tar	tæɾ
خشک‎	xošk	xoʃk
درست‎	dorost	doɾost
نزدیک‎	nazdik	næzdiːk
دور‎	dur	duːɾ
راست‎	râst	ɾɒːst
چپ‎	čap	tʃæp
به‎	be	be
در‎	dar	dæɾ
با‎	bâ	bɒː
و‎	o, va	o~væ
اگر‎	agar	ægæɾ
چون‎	čon	tʃon
اسم‎	esm	esm
