ἐγώ	egṓ	e.ɡɔ̌ː
γῆ	gê	ɡɛ̂ː
νέφος	néphos	né.pʰos
ὀμίχλη	omíkhlē	o.mí.kʰlɛː
οὐρανός	ouranós	uː.ra.nós
ἄνεμος	ánemos	á.ne.mos
χιών	khiṓn	kʰi.ɔ̌ːn
κρύσταλλος	krústallos	krýs.tal.los
καπνός	kapnós	ka.pnós
πῦρ	pûr	pŷːr
τέφρα	téphra	té.pʰraː
καίω	kaíō	kǎi̯.ɔː
ὁδός	hodós	ho.dós
ἄκρα	ákra	á.kraː
ἐρυθρός	eruthrós	e.ry.tʰrós
χλωρός	khlōrós	kʰlɔː.rós
ξανθός	xanthós	ksan.tʰós
λευκός	leukós	leu̯.kós
μέλας	mélas	mé.laːs
νύξ	núx	nýks
ἡμέρα	hēméra	hɛː.mé.raː
ἔτος	étos	é.tos
θερμός	thermós	tʰer.mós
ψυχρός	psukhrós	psyː.kʰrós
μεστός	mestós	mes.tós
νέος	néos	né.wos
παλαιός	palaiós	pa.lai̯.ós
ἀγαθός	agathós	a.ɡa.tʰós
κακός	kakós	ka.kós
σαπρός	saprós	sa.prós
θολερός	tholerós	tʰo.le.rós
εὐθύς	euthús	eu̯.tʰýs
κυκλοτερής	kukloterḗs	ky.klo.te.rɛ̌ːs
τομός	tomós	to.mós
ἀμβλύς	amblús	am.blýs
λεῖος	leîos	lêː.os
ὑγρός	hugrós	hy.ɡrós
ξηρός	xērós	ksɛː.rós
δίκαιος	díkaios	dí.kai̯.os
ἐγγύς	engús	eŋ.ɡýs
μακράν	makrán	ma.krǎːn
δεξιός	dexiós	dek.si.ós
ἀριστερός	aristerós	a.ris.te.rós
ἐν	en	en
ἐν	en	en
μετά	metá	me.tá
καί	kaí	kǎi̯
εἰ	ei	eː
ὅτι	hóti	hó.ti
ὄνομα	ónoma	ó.no.ma
