मैं	ma͠i	mɛ̃ː
तारा	tārā	t̪ɑː.ɾɑː
पानी	pānī	pɑː.niː
बारिश	bāriś	bɑː.ɾɪʃ
नदी	nadī	nə.d̪iː
झील	jhīl	d͡ʒʱiːl
समन्दर	samandar	
नमक	namak	nə.mək
पत्थर	patthar	pət̪.t̪ʰəɾ
रेत	ret	ɾeːt̪
धूल	dhūl	d̪ʱuːl
धरती	dhartī	d̪ʱəɾ.t̪iː
बादल	bādal	bɑː.d̪əl
धुंध	dhundh	d̪ʱʊnd̪ʱ
आसमान	āsmān	ɑːs.mɑːn
हवा	havā	ɦə.ʋɑː
बर्फ़	barf	bə.ɾəf
बर्फ़	barf	bə.ɾəf
धुआँ	dhuā̃	d̪ʱʊ.ɑ̃ː
आग	āg	ɑːɡ
राख	rākh	ɾɑːkʰ
जलना	jalnā	d͡ʒəl.nɑː
सड़क	saṛak	sə.ɽək
पहाड़	pahāṛ	pə.ɦɑːɽ
लाल	lāl	lɑːl
हरा	harā	ɦə.ɾɑː
पीला	pīlā	piː.lɑː
सफ़ेद	safed	sə.feːd̪
काला	kālā	kɑː.lɑː
रात	rāt	ɾɑːt̪
दिन	din	d̪ɪn
साल	sāl	sɑːl
गर्म	garm	ɡə.ɾəm
ठंडा	ṭhaṇḍā	ʈʰəɳ.ɖɑː
पूरा	pūrā	puː.ɾɑː
नया	nayā	n̪əˈja(ː)
पुराना	purānā	pʊ.ɾɑː.nɑː
अच्छा	acchā	ət̪.t͡ʃʰɑː
बुरा	burā	bʊ.ɾɑː
सड़ा	saṛā	sə.ɽɑː
गंदा	gandā	ɡən.d̪ɑː
सीधा	sīdhā	siː.d̪ʱɑː
गोल	gol	ɡoːl
तीखा	tīkhā	t̪iː.kʰɑː
कुंद	kund	kʊnd̪
चिकना	ciknā	t͡ʃɪk.nɑː
गीला	gīlā	ɡiː.lɑː
सूखा	sūkhā	suː.kʰɑː
सही	sahī	sə.ɦiː
पास	pās	pɑːs
दूर	dūr	d̪uːɾ
दायाँ	dāyā̃	d̪ɑː.jɑ̃ː
बायाँ	bāyā̃	bɑː.jɑ̃ː
पे	pe	peː
में	mẽ	mẽː
के	ke sāth	keː
और	aur	ɔːɾ
अगर	agar	ə.ɡəɾ
क्योंकि	kyoṅki	kjõː.kiː
नाम	nām	nɑːm
