હું	hũ	ˈɦũ
સારું	sārũ	ˈsɑ.ɾũ
ખરાબ	kharāb	
સડેલું	saḍelũ	
ગંદુ	gandu	
સીધું	sīdhũ	
ગોળ	goḷ	
ધારદાર	dhārdār	
બુઠ્ઠું	buṭhṭhũ	
લીસું	līsũ	
ભીનું	bhīnũ	
સુકું	sukũ	
સાચું	sācũ	
નજીક	najīk	
દૂર	dūr	ˈd̪uɾ
જમણું	jamṇũ	
ડાબું	ḍābũ	
એ	e	e
અંદર	andar	
સાથે	sāthe	
અને	ane	ˈə.nɛ
જો	jo	
કારણકે	kāraṇke	
નામ	nām	
