我	ngo5	ŋɔː¹³
山	saan1	saːn⁵⁵
紅	hung4	hʊŋ²¹
綠	luk6	lʊk²
黃	wong4	wɔŋ²¹
白	baak6	paːk²
黑	hak1	hɐk⁵
夜晚	je6 maan5	jɛː²² maːn¹³
日頭	jat6 tau4-2	jɐt² tʰɐu²¹⁻³⁵
年	nin4	nin²¹
暖	nyun5	nyːn¹³
凍	dung3	tʊŋ³³
滿	mun5	muːn¹³
新	san1	sɐn⁵⁵
老	lou5	lou¹³
好	hou2	hou³⁵
壞	waai6	waːi²²
爛	laan6	laːn²²
污糟	wu1 zou1	wuː⁵⁵ tsou⁵⁵
直	zik6	tsɪk²
圓	jyun4	jyːn²¹
利	lei6	lei²²
鈍	deon6	tɵn²²
滑	waat6	waːt²
濕	sap1	sɐp⁵
乾	gon1	kɔːn⁵⁵
啱	ngaam1	ŋaːm⁵⁵
近	kan5	kʰɐn¹³
遠	jyun5	jyːn¹³
右	jau6	jɐu²²
左	zo2	tsɔː³⁵
喺	hai2	hɐi³⁵
裡便	leoi5 bin6	lɵy¹³ biːn²²
同	tung4	tʰʊŋ²¹
同	tung4	tʰʊŋ²¹
如果	jyu4 gwo2	jyː²¹ kʷɔː³⁵
因為	jan1 wai6	jɐn⁵⁵ wɐi²²
名	meng4-2	mɛːŋ²¹⁻³⁵
