𠊎	ngài	ŋai¹¹
雪	siet	ɕiet²
冰	pên	pen²⁴
煙	yên	ien²⁴
火	fó	fo³¹
灰	fôi	foi²⁴
燒	sêu	seu²⁴
路	lu	lu⁵⁵
山	sân	san²⁴
紅色	fùng-set	fuŋ¹¹ set²
青色	chhiâng-set	tɕʰiaŋ²⁴ set²
黃色	vòng-set	voŋ¹¹ set²
白色	pha̍k-set	pʰak⁵ set²
烏色	vû-set	vu²⁴ set²
暗晡	am-pû	am⁵⁵ pu²⁴
日時頭	ngit-sṳ̀-thèu	ɲit² sɨ¹¹ tʰeu¹¹
年	ngièn	ɲien¹¹
熱	ngie̍t	ɲiet⁵
冷	lâng	laŋ²⁴
滿	muāng	man²⁴
新	sîn	ɕin²⁴
老	ló	lo³¹
好	hó	ho³¹
壞	fái	fai³¹
壞	fái	fai³¹
垃圾	lá-sap	la³¹ sep²
直	chhṳ̍t	tsʰɨt̚⁵
圓	yèn	ien¹¹
尖	chiâm	tɕiam²⁴
鈍	thun	tʰun⁵⁵
滑	va̍t	vat⁵
濕	sṳp	sɨp²
燥	châu	tsau²⁴
著	chho̍k	tsʰok̚⁵
近	khiûn	kʰiun⁵⁵
遠	yèn	ien³¹
右	yu	iu⁵⁵
左	chó	tso³¹
在	chhai	tsʰai⁵⁵
在	chhai	tsʰai⁵⁵
撈	lâu	leu¹¹
撈	lâu	leu¹¹
若係	na-he	na⁵⁵ he⁵⁵
因為	yîn-vì	in²⁴⁻¹¹ vi⁵⁵
名	miàng	miaŋ¹¹
