我	ngo3	ŋo⁵³
雨	yu3	y⁵³
河	ho2	xo²¹
湖	fu2	fu²¹
海	hai3	xai⁵³
鹽巴	yan2 ba1	iɛn²¹ pa⁵⁵
石頭	si2 tou2-1	sɿ²¹ tʰəu²¹⁻⁵⁵
河沙	ho2 sa1	xo²¹ sa⁵⁵
灰	hui1	xuei⁵⁵
土	tu3	tʰu⁵³
雲	yun2	yn²¹
霧	wu4	vu²¹³
天	tian1	tʰiɛn⁵⁵
風	fong1	foŋ⁵⁵
雪	xue2	ɕye²¹
冰	bin1	pin⁵⁵
煙煙	yan1 yan1	iɛn⁵⁵ iɛn⁵⁵
火	ho3	xo⁵³
灰	hui1	xuei⁵⁵
燒	sao1	sau⁵⁵
路	nu4	nu²¹³
山	san1	san⁵⁵
紅	hong2	xoŋ²¹
綠	nu2	nu²¹
黃	huang2	xuaŋ²¹
白	be2	pɛ²¹
黑	he2	he2
擦黑	ca2 he2	tsʰa²¹ xɛ²¹
白天	be2 tian1	pɛ²¹ tʰiɛn⁵⁵
年	nyian2	ȵiɛn²¹
		
冷	nen3	nən⁵³
滿	man3	man⁵³
新	xin1	ɕin⁵⁵
老	nao3	nau⁵³
好	hao3	xau⁵³
壞	huai4	xuai²¹³
		
髒	zang1	tsaŋ⁵⁵
立	ni2	ni²¹
圓	yuan2	yan²¹
尖	jian1	tɕiɛn⁵⁵
鈍	den4	tən²¹³
		
濕	si2	sɿ²¹
乾	gan1	kan⁵⁵
對	dui4	tuei²¹³
近	jin4	tɕin²¹³
遠	yuan3	yan⁵³
右	you4	iəu²¹³
左	zo3	tso⁵³
在	zai4	tsai²¹³
在	zai4	tsai²¹³
和	ho2	xo²¹
和	ho2	xo²¹
假比	jia3 bi3	tɕia⁵³ pi⁵³
因為	yin1 wei4	in⁵⁵ uei²¹³
名	min2	min²¹
