雲	hûn	hun³⁵
霧	bū	bu³³
天	thiⁿ	tʰĩ⁵⁵
風	hong	hɔŋ⁵⁵
雪	seh	seʔ¹¹
冰	peng	piŋ⁵⁵
薰	hun	hun⁵⁵
火	hé	he⁵³
灰	he	he⁵⁵
焚	hiâⁿ	hiã³⁵
路	lō͘	lɔ³³
山	soaⁿ	suã⁵⁵
紅	âng	aŋ³⁵
綠	le̍k	lɪk⁵⁵
黃	n̂g	
白	pe̍h	pe⁵⁵
烏	o͘	ɔ⁵⁵
暗時	àm-sî	am⁵³ ɕi³⁵
日時	ji̍t-sî	ʑɪt¹¹ ɕi³⁵
年	nî	ni³⁵
燒烙	sio-lō	ɕio³³ lo³³
寒	kôaⁿ	kuã³⁵
滿	bóan/móa	buan⁵³
新	sin	ɕɪn⁵⁵
老	lāu	lau³³
好	hó	ho⁵³
歹	pháiⁿ	pʰaĩ⁵³
餲	àu	au²¹
垃圾	lah-sap	laʔ⁵³ sap¹¹
直	tit	tɪt⁵⁵
圓	îⁿ	ĩ³⁵
利	lāi	lai³³
鈍	tūn	tun³³
光滑	kng-ku̍t	kŋ³³ kut⁵⁵
濕	sip	ɕɪp¹¹
焦	ta	ta⁵⁵
著	tio̍h	tioʔ⁵⁵
近	kūn	kun³³
遠	hn̄g	
正	chiàⁿ	tɕiã²¹
倒	tò	to²¹
佇	tī	ti³³
佇……裡	tī… lāi	ti³³… lai³³
及	kap	kap¹¹
及	kap	kap¹¹
若是	nā-sī	na²¹ ɕi³³
因為	in-ūi	ɪn³³ ui³³
名	miâ	miã³⁵
