أَنَا‎	ʔanā	ʔa.naː
غَنَّى‎	ḡannā	ɣan.naː
لَعِبَ‎	laʕiba	la.ʕi.ba
عَامَ‎	ʕāma	ʕaː.ma
تَدَفَّقَ‎	tadaffaqa	ta.daf.fa.qa
جَمَدَ‎	jamada	d͡ʒa.ma.da
وَرِمَ‎	warima	wa.ri.ma
شَمْس‎	šams	ʃams
قَمَر‎	qamar	qa.mar
نَجْم‎	najm	nad͡ʒm
مَاء‎	māʔ	maːʔ
مَطَر‎	maṭar	ma.tˤar
نَهْر‎	nahr	nahr
بُحَيْرَة‎	buḥayra	bu.ħaj.ra
بَحْر‎	baḥr	baħr
مِلْح‎	milḥ	milħ
حَجَر‎	ḥajar	ħa.d͡ʒar
رَمْل‎	raml	raml
غُبَار‎	ḡubār	ɣu.baːr
أَرْض‎	ʔarḍ	ʔardˤ
سَحَابَة‎	saḥāba	sa.ħaː.ba
ضَبَاب‎	ḍabāb	dˤa.baːb
سَمَاء‎	samāʔ	sa.maːʔ
رِيح‎	rīḥ	riːħ
ثَلْج‎	ṯalj	θald͡ʒ
جَلِيد‎	jalīd	d͡ʒa.liːd
دُخَان‎	duḵān	du.xaːn
نَارَ‎	nāra	naː.ra
رَمَاد‎	ramād	ra.maːd
حَرَقَ‎	ḥaraqa	ħa.ra.qa
طَرِيق‎	ṭarīq	tˤa.riːq
جَبَل‎	jabal	d͡ʒa.bal
أَحْمَر‎	ʔaḥmar	ʔaħ.mar
أَخْضَر‎	ʔaḵḍar	ʔax.dˤar
أَصْفَر‎	ʔaṣfar	ʔasˤ.far
أَبْيَض‎	ʔabyaḍ	ʔab.jadˤ
أَسْوَد‎	ʔaswad	ʔas.wad
لَيْل‎	layl	lajl
يَوْم‎	yawm	jawm
سَنَة‎	sana	sa.na
دَافِئ‎	dāfiʔ	daː.fiʔ
بَارِد‎	bārid	baː.rid
مُمْتَلِئ‎	mumtaliʔ	mum.ta.liʔ
جَدِيد‎	jadīd	d͡ʒa.diːd
قَدِيم‎	qadīm	qa.diːm
طَيِّب‎	ṭayyib	tˤaj.jib
سَيِّئ‎	sayyiʔ	saj.jiʔ
مُتَعَفِّن‎	mutaʕaffin	mu.ta.ʕaf.fin
قَذِر‎	qaḏir	qa.ðir
مُسْتَقِيم‎	mustaqīm	mus.ta.qiːm
مُسْتَدِير‎	mustadīr	mus.ta.diːr
حَادّ‎	ḥādd	ħaːdd
ثَلِم‎	ṯalim	θa.lim
نَاعِم‎	nāʕim	naː.ʕim
رَطْب‎	raṭb	ratˤb
جَافّ‎	jāff	d͡ʒaːff
صَحِيح‎	ṣaḥīḥ	sˤa.ħiːħ
قَرِيب‎	qarīb	qa.riːb
بَعِيد‎	baʕīd	ba.ʕiːd
يَمِين‎	yamīn	ja.miːn
شِمَال‎	šimāl	ʃi.maːl
عِنْدَ‎	ʕinda	ʕin.da
فِي‎	fī	fiː
مَعَ‎	maʕa	ma.ʕa
وَ‎	wa	wa
لَوْ‎	law	law
لِأَنَّ‎	liʔanna	li.ʔan.na
اِسْم‎	ism	ism
