أنا‎	ʔana	ʔa.na
عام‎	ʕām	ʕaːm
دافي‎	dāfi	daː.fi
بارد‎	bārid	baː.rid
عامر‎	ʕāmar	ʕaː.mar
جديد‎	jdīd	ʒdiːd
قديم‎	qdīm	qdiːm
مزيان‎	mizyān	miz.jaːn
خايب‎	ḵāyib	xaː.jib
خامج‎	ḵāmij	xaː.miʒ
موسخ‎	mūssaḵ, mwassaḵ	muːs.sax
نيشان‎	nīšān	niː.ʃaːn
مدور‎	mdawwar	mdaw.war
ماضى‎	māḍi	maː.dˤi
حافي‎	ḥāfi	ħaː.fi
مالس‎	mālis	maː.lis
فازك‎	fāzig	faː.ziɡ
يابس‎	yābis	jaː.bis
صحيح‎	ṣḥīḥ	sˤħiːħ
قريب‎	qrīb	qriːb
بعيد‎	bʕīd	bʕiːd
ليمن‎	līman, līmin	liː.man
ليسار‎	līsār	liː.saːr
عند‎	ʕand	ʕand
ف‎	f	fa
مع‎	mʕa	mʕa
و‎	w	wa
إدا‎	ʔida	ʔi.da
حيت‎	ḥīt	ħiːt
اسمية‎	smiyya	smij.ja
