أنا‎	ʔana	ˈʔa.na
مي‎	ṃajj	ˈmˤajj
شتا‎	šita	ˈʃi.ta
نهر‎	nahr	ˈnahr
بحيرة‎	buḥayra	buˈħaj.ra
بحر‎	baḥar	ˈba.ħar
ملح‎	malḥ	ˈmalħ
حجر‎	ḥajar	ˈħa.ʒar
رمل‎	raml	ˈraml
غبرة‎	ḡabara	ˈɣa.ba.ra
أرض‎	ʔarḍ	ˈʔardˤ
غيم‎	ḡēm	ˈɣeːm
ضباب‎	ḍabāb	dˤaˈbaːb
سما‎	sama	ˈsa.ma
هوا‎	hawa	ˈħa.wa
تلج‎	talj	ˈtalʒ
تلج‎	talj	ˈtalʒ
دخان‎	duḵḵān	duxˈxaːn
نار‎	nār	ˈnaːr
رماد‎	ramād	raˈmaːd
حرق‎	ḥaraʔ	ˈħa.raʔ
طريق‎	ṭarīʔ	tˤaˈriːʔ
جبل‎	jabal	ˈʒa.bal
أحمر‎	ʔaḥmar	ˈʔaħ.mar
أخضر‎	ʔaḵḍar	ˈʔax.dˤar
أصفر‎	ʔaṣfar	ˈʔasˤ.far
أبيض‎	ʔabyaḍ	ˈʔab.jadˤ
أسود‎	ʔaswad	ˈʔas.wad
ليلة‎	lēle	ˈleː.le
يوم‎	yōm	ˈjoːm
سنة‎	sane	ˈsa.ne
سخن‎	suḵn	ˈsuxn
بارد‎	bārid	ˈbaː.rid
ملان‎	malān	maˈlaːn
جديد‎	jdīd	ˈʒdiːd
قديم‎	ʔadīm	ʔaˈdiːm
منيح‎	mnīḥ	ˈmniːħ
عاطل‎	ʕāṭil	ˈʕaː.tˤil
خربان‎	ḵarbān	xarˈbaːn
وسخ‎	wisiḵ	ˈwi.six
دغري‎	duḡri	ˈduɣ.ri
مدوّر‎	mdawwar	ˈmdaw.war
ماضي‎	māḍi	ˈmaː.dˤi
بارد‎	bārid	ˈbaː.rid
ناعم‎	nāʕim	ˈnaː.ʕim
مبلول‎	mablūl	mabˈluːl
ناشف‎	nāšif	ˈnaː.ʃif
صح‎	saḥḥ	ˈsˤaħħ
قريب‎	ʔarīb	ʔaˈriːb
بعيد‎	bʕīd	ˈbʕiːd
يمين‎	yamīn	jaˈmiːn
شمال‎	šmāl	ˈʃmaːl
عند‎	ʕind	ˈʕind
في‎	fi	fi
مع‎	maʕ	maʕ
و‎	w-	wa
لو‎	law	law
عشان‎	ʕašān	ʕaˈšaːn
اسم‎	ʔism	ˈʔism
