ܐܢܐ	ānā	ɑːnɑː
ܪܛܝܒܐ	raṭīḇā	ratˤˈtˤiːwɑː
ܝܒܝܫܐ	yabīšā	jab.biːʃɑː
ܬܪܝܨܐ	trīṣā	təriːsˤɑː
ܩܪܝܒܐ	qarīḇā	qar.riːwɑː
ܪܚܝܩܐ	raḥīqā	rax.xiːqɑː
ܝܡܝܢܐ	yamīnā	jam.miːnɑː
ܣܡܠܐ	simmālā	sim.mɑːlɑː
ܒ-	b-	b(ə)-
ܒ-	b-	b(ə)-
ܥܡ	ˁam	ʕam
ܘ-	w-	w(ə)
ܐܢ	in	in
		
ܫܡܐ	šimmā	ʃɪm.maː
