私	watashi	ɰᵝa̠ta̠ɕi
黄	ki	kʲi
白	shiro	⟨siro1⟩
黒	kuro	⟨kuro1⟩
夜	yoru	⟨yo1ru⟩
日	hi	nʲitɨ
年	toshi	nẽ̞ɴ
暖かい	atatakai	
寒い	samui	sa̠mɯ̟ᵝi
満ちた	michita	
新しい	atarashii	arataɕi
古い	furui	⟨puruki1⟩
良い	ii	joɕi
悪い	warui	ɰᵝa̠ɾɯ̟ᵝi
腐った	kusatta	
汚い	kitanai	kʲi̥ta̠na̠i
真っ直ぐ	massugu	ma̠sːɯ̟ᵝɡɯ̟ᵝ
丸い	marui	
鋭い	surudoi	sɨᵝɾɯ̟ᵝdo̞i
鈍い	nibui	no̞ɾo̞i
滑らか	nameraka	
濡れた	nureta	
乾いた	kawaita	
正しい	tadashii	ta̠da̠ɕii
近い	chikai	t͡ɕi̥ka̠i
遠い	tōi	to̞ːi
右	migi	mʲiɡʲi
左	hidari	çida̠ɾʲi
	de	
	de	
	to	
	to	
若し	moshi	
	kara	
名	na	na̠
