Phone	Manner	Place	Frontage	Openness	Voiced	Rounded	Rhotic	Lateral	Strident	Sibilant	f1	f2
ç	4_FRICATIVE	7_PALATAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʝ	4_FRICATIVE	7_PALATAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
x	4_FRICATIVE	8_VELAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɧ	4_FRICATIVE	8_VELAR	5_CONSONANT	7_CONSONANT	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʍ	4_FRICATIVE	8_VELAR	5_CONSONANT	7_CONSONANT	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɣ	4_FRICATIVE	8_VELAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
χ	4_FRICATIVE	9_UVULAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
ʁ	4_FRICATIVE	9_UVULAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
ħ	4_FRICATIVE	A_PHARYNGEAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
h	4_FRICATIVE	B_GLOTTAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɦ	4_FRICATIVE	B_GLOTTAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
m	5_NASAL	0_BILABIAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɱ	5_NASAL	1_LABIODENTAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
