我	wǒ	uɔ²¹⁴
海	hǎi	xai²¹⁴
鹽	yán	iɛn³⁵
石	shí	ʂʐɨ³⁵
沙	shā	ʂa⁵⁵
塵土	chéntǔ	tʂən³⁵ tʰu²¹⁴
土壤	tǔyǎng	tʰu³⁵ ʐɑŋ²¹⁴
雲	yún	yn³⁵
霧	wù	u⁵¹
天	tiān	tʰiɛn⁵⁵
風	fēng	fɤŋ⁵⁵
雪	xuě	ɕyɛ²¹⁴
冰	bīng	piŋ⁵⁵
煙	yān	iɛn⁵⁵
火	huǒ	xuɔ²¹⁴
灰	huī	xuei⁵⁵
燒	shāo	ʂɑu⁵⁵
路	lù	lu⁵¹
山	shān	ʂan⁵⁵
紅	hóng	xoŋ³⁵
綠	lǜ	ly⁵¹
黃	huáng	xuaŋ³⁵
白	bái	pai³⁵
黑	hēi	xei⁵⁵
夜晚	yèwǎn	iɛ⁵¹ uan²¹⁴
白天	báitiān	pai³⁵ tʰiɛn⁵⁵
年	nián	niɛn³⁵
溫暖	wēnnuǎn	uən⁵⁵ nuan²¹⁴
冷	lěng	lɤŋ²¹⁴
滿	mǎn	man²¹⁴
新	xīn	ɕin⁵⁵
老	lǎo	lɑu²¹⁴
好	hǎo	xɑu²¹⁴
壞	huài	xuai⁵¹
爛	làn	lan⁵¹
髒	zāng	tsɑŋ⁵⁵
直	zhí	tʂʐɨ³⁵
圓	yuán	yɛn³⁵
尖	jiān	tɕiɛn⁵⁵
鈍	dùn	tuən⁵¹
光滑	guānghuá	kuɑŋ⁵⁵ xua³⁵
濕	shī	ʂʐɨ⁵⁵
乾	gān	kan⁵⁵
對	duì	tuei⁵¹
近	jìn	tɕin⁵¹
遠	yuǎn	yɛn²¹⁴
右	yòu	iou⁵¹
左	zuǒ	tsuɔ²¹⁴
在	zài	tsai⁵¹
在… 裡	zài… lǐ	tsai⁵¹ li²¹⁴
跟	gēn	kən⁵⁵
和	hé	xɤ³⁵
如果	rúguǒ	ʐu³⁵ kuɔ²¹⁴
因爲	yīnwèi	in⁵⁵ uei⁵¹
名	míng	miŋ³⁵
