ฉัน	chǎn	t͡ɕʰan˩˩˦
แม่น้ำ	mâenáam	mɛː˥˩.naːm˦˥
ทะเลสาบ	thalee.sàap	tʰa˦˥.leː˧.saːp̚˨˩
ทะเล	thalee	tʰa˦˥.leː˧
เกลือ	klʉa	klɯa̯˧
หิน	hǐn	hin˩˩˦
ทราย	saay	saːj˧
ฝุ่น	fùn	fun˨˩
ดิน	din	din˧
เมฆ	mêek	meːk̚˥˩
หมอก	mɔ̀ɔk	mɔːk̚˨˩
ฟ้า	fáa	faː˦˥
ลม	lom	lom˧
หิมะ	himá	hi˨˩.maʔ˦˥
น้ำแข็ง	nám.khǎeŋ	nam˦˥.kʰɛŋ˩˩˦
ควัน	khwan	kʰwan˧
ไฟ	fay	faj˧
เถ้า	thâo	tʰaw˥˩
เผา	phǎo	pʰaw˩˩˦
ทาง	thaaŋ	tʰaːŋ˧
เขา	khǎo	kʰaw˩˩˦
แดง	daeaeŋ	dɛːŋ˧
เขียว	khǐaw	kʰia̯w˩˩˦
เหลือง	lʉ̌aŋ	lɯa̯ŋ˩˩˦
ขาว	khǎaw	kʰaːw˩˩˦
ดำ	dam	dam˧
กลางคืน	klaaŋ.khʉʉn	klaːŋ˧.kʰɯːn˧
กลางวัน	klaaŋ.wan	klaːŋ˧.wan˧
ปี	pii	piː˧
อุ่น	rɔ́ɔn	ʔun˨˩
หนาว	nǎaw	naːw˩˩˦
เต็ม	tem	tem˧
ใหม่	mày	maj˨˩
แก่	kàeae	kɛː˨˩
ดี	dii	diː˧
เลว	mâi.dii	leːw˧
เน่า	nâo	naw˥˩
สกปรก	sòkkapròk	sok̚˨˩.ka˨˩.prok̚˨˩
ตรง	troŋ	troŋ˧
กลม	klom	klom˧
คม	khom	kʰom˧
ทื่อ	thʉ̂ʉ	tʰɯː˥˩
ละมุน	rîap	la˦˥.mun˧
เปียก	pìak	pia̯k̚˨˩
แห้ง	hâeaeŋ	hɛːŋ˥˩
ถูก	thùuk	tʰuːk̚˨˩
ใกล้	klây	klaj˥˩
ไกล	klay	klaj˧
ขวา	khwǎa	kʰwaː˩˩˦
ซ้าย	sáay	saːj˦˥
ที่	thîi	tʰiː˥˩
ใน	nay	naj˧
กับ	kàp	kap̚˨˩
และ	láe	lɛʔ˦˥
ถ้า	thâa	tʰaː˥˩
เพราะ	phrɔ́?	pʰrɔʔ˦˥
ชื่อ	chʉ̂ʉ	t͡ɕʰɯː˥˩
