ⵏⴽⴽ	nkk	n̪əc(ː)
ⵙⵙⵓⴹ	ssuḍ	sˤʊ̙̞ðˤ
ⵙⵙⵓⵏⴼⵙ	ssunfs	su̞n̪fəs
ⵟⵙ	ṭs	t̪ˤəsˤ
ⴰⵏⵏⴰⵢ	annay	æ̝n̪ːæ̝j
ⵙⵍ	sl	sl̩
ⵉⵙⵉⵏ	isin	isi̞n̪
ⵅⵎⵎⵎ	xmmm	χm̩ːm̩
ⴽⴹⵓ	kḍu	ʝðˤʊ̙
ⴳⴳⵯⴷ	ggʷd	ɡʷːəð
ⴳⵏ	gn	ʝn̪̩
ⴷⴷⵔ	ddr	d̪ːr̩
ⵎⵎⵜ	mmt	mːəθ
ⵏⵖ	nɣ	n̪əʁ
ⵏⵏⴰⵖ	nnaɣ	n̪ːɑ̝ʁ
ⴳⵎⵔ	gmr	ʝmr̩
ⴳⵯⵜ	gʷt	ɣʷəθ
ⴱⴱⵢ	bby	bːi̞(j)
ⵙⵜⵖ	stɣ	sθəʁ
ⵏⵇⵇⴱ	nqqb	n̪əqːəβ
ⴽⵎⵣ	kmz	çməz
ⵖⵣ	ɣz	ʁəz
ⵄⵓⵎ	ɛum	ʕʊ̙̞m
ⴰⴼⵔⵡ	afrw	æ̝fru̞(w)
ⴷⴷⵓ	ddu	d̪ːu
ⴰⵙ	as	æ̝s
ⴳⵏ	gn	ʝn̪̩
ⵇⵇⵉⵎ	qqim	qːɪ̙̞m
ⴱⴷⴷ	bdd	βəd̪(ː)
ⴹⵓⵡⵔ	ḍuwr	ðˤʊ̙(w)r̩ˤ
ⴹⵔ	ḍr	ðˤr̩ˤ
ⴽⴼ	kf	çəf
ⵟⵟⴼ	ṭṭf	t̪ˤəf
ⵥⵎ	ẓm	zˤm̩
ⵎⵔⵢ	mry	mri̞(j)
ⵙⵙⵉⵔⴷ	ssird	sirəð
ⵙⴼⴹ	sfḍ	sˤfəðˤ
ⵏⵣⵖ	nzɣ	n̪zəʁ
ⵜⵃⵉ	tḥi	θħɪ̙
ⴳⵔ	gr	ʝr̩
ⴰⵙⵙ	ass	æ̝s(ː)
ⴳⵏⵓ	gnu	ʝn̪u
ⵃⴰⵙⴱ	ḥasb	ħɑsəβ
ⵉⵏⵉ	ini	in̪i
ⵉⵔⵉⵔ	irir	iri̞r
ⵓⵔⴰⵔ	urar	uræ̝r
ⵀⵣⵣⴰ	hzza	həzːɑ
ⴰⵣⵣⵍ	azzl	æ̝zːl̩
