איך‎ 	ikh	ɪχ
נעפּל 	nepl	
הימל 	himl	ˈhɪmɫ̩
ווינט 	vint	vɪnt
שניי 	shney	ʃnɛɪ̯
אײַז 	ayz	aɪ̯z
רויך 	roykh	
פֿײַער 	fayer	ˈfaɪ̯ər
אַש 	ash	
ברענען 	brenen	ˈbʁɛnən
װעג 	veg	
באַרג 	barg	
רויט 	royt	rɔɪ̯t
גרין 	grin	ɡʁɪn
געל 	gel	
ווײַס 	vays	vaɪ̯s
שוואַרץ 	shvarts	ʃvart͡s
נאַכט 	nakht	naχt
טאָג 	tog	tɔɡ
יאָר 	yor	jɔr
וואַרעם 	varem	
קאַלט 	kalt	kaɫt
פֿול 	ful	fʊɫ
נײַ 	nay	naɪ̯
אַלט 	alt	aɫt
גוט 	gut	ɡʊt
שלעכט 	shlekht	ʃɫɛχt
פֿאַרפֿוילט 	farfoylt	
שמוציק 	shmutsik	ˈʃmut͡sɪk
גלײַך 	glaykh	ɡɫaɪ̯χ
קײַלעכיק 	kaylechik	
שאַרף 	sharf	ʃaʁf
טעמפּ 	temp	
גלאַט 	glat	
נאַס 	nas	nas
טרוקן 	trukn	ˈtʁʊkn̩
ריכטיק 	rikhtik	
בײַ 	bay	
ווײַט 	vayt	vaɪ̯t
רעכץ 	rekhts	
לינקס 	links	ɫɪŋks
בײַ 	bay	
אין 	in	in
מיט 	mit	
און 	un	ʊn
אויב 	oyb	ɔɪ̯b
ווײַל 	vayl	vaɪ̯ɫ
נאָמען 	nomen	ˈnɔmən
