އަހަރެން‎‎	aharen̊‎	a.ha.ɾen̪
ގަނޑުފެން‎	gaⁿḍufen̊	
ދުން‎	dun̊	
އަލިފާން‎	alifān̊	əlifəːn̪
އަލްހު‎	alhu	
އެންދުން‎	en̊dun̊	
މަގު‎	magu	mə.ɡu
ފަރުބަދަ‎	farubada	
ރަތް‎	rat̊	ɾat̪
ފެހިކުލައިގެ‎	fehikulaige	
ރީނދޫކުލަ‎	rīⁿdūkula	ɾiː.ⁿd̪uː.ku.la
ހުދު‎	hudu	
ކަޅު‎	kaḷu	ka.ɭu
ރޭގަނޑު‎	rēgaⁿḍu	ɾeː.ɡə.ᶯɖu
ދުވަސް‎	duvas	d̪u.ʋəs̺
އަހަރު‎	aharu	a.ha.ɾu
ހޫނު‎	hūnu	huː.n̪u
ފިނި‎	fini	
ފުރިފައި‎	furifai	
އާ‎	ā	əː
ބާ‎	bā	bəː
ރަނގަޅު‎	raⁿgaḷu	ɾa.ᵑɡa.ɭu
ނުބައި‎	nubai	
ފީ‎	fī	
ހަޑިވެފައިވާ‎	haḍivefaivā	
ސީދާ‎	sīdā	
ވަށް‎	vaṣ̊	
ތޫނު‎	tūnu	t̪uː.n̪u
ކޮށި‎	koṣi	ko.ʂi
އޮމާން‎	omān̊	
ތެތް‎	tet̊	t̪et̪
ދަހަން’ގު‎	dahan̊’gu	
ރަނގަޅު‎	raⁿgaḷu	ɾa.ᵑɡa.ɭu
ކައިރި‎	kairi	ka.i.ɾi
ދުރު‎	duru	
ކަނާއި‎	kanāi	
ވާއަތު‎	vāatu	
ގައި-‎	gai-	
ޛެރެޔް	źerey gay	
އެކުގަ‎	ekuga	
އާއި‎	āi	əː.i
ނަމަ‎	nama	n̪a.ma
އެހެންވެ‎	ehen̊ve	
ނަން‎	nan̊	n̪ən̪
