நான்	nāṉ	n̪aːn
சாம்பல்	cāmpal	t͡ɕaːmbɐl
எரி	eri	eɾi
சாலை	cālai	t͡ɕaːlaɪ̯
மலை	malai	mɐlaɪ̯
சிவப்பு	civappu	t͡ɕiʋɐpːu
பச்சை	paccai	pɐt͡ɕːaɪ̯
மஞ்சள்	mañcaḷ	mɐɲd͡ʑɐɭ
வெள்ளை	veḷḷai	
கருப்பு	karuppu	kɐɾupːu
இரவு	iravu	iɾɐʋu
நாள்	nāḷ	n̪aːɭ
வர்ஷம்	varṣam	ʋɐɾʂɐm
வெக்கை	vekkai	
குளிர்ச்சி	kuḷircci	kuɭiɾt͡ɕːi
முழு	muḻu	muɻu
புது	putu	pud̪u
பழைய	paḻaiya	pɐɻaɪ̯jɐ
நல்ல	nalla	n̪ɐllɐ
கெட்ட	keṭṭa	keʈːɐ
அழுகிய	aḻukiya	
அழுக்கான	aḻukkāṉa	
நேர்	nēr	
உருண்ட	uruṇṭa	
கூர்மை	kūrmai	kuːɾmaɪ̯
மழுங்கிய	maḻuṅkiya	
வழுவழுப்பு	vaḻuvaḻuppu	
ஈரமான	īramāṉa	iːɾɐmaːnɐ
உலர்ந்த	ularnta	
சரி	cari	t͡ɕɐɾi
அருகில்	arukil	
தொலைவு	tolaivu	
வலது	valatu	ʋɐlɐd̪u
இடது	iṭatu	iɖɐd̪u
-இல்	-il	
-இல்	-il	
-உடன்	-uṭaṉ	
மற்றும்	maṟṟum	mɐrːum
என்றால்	eṉṟāl	enraːl
ஏனென்றால்	ēṉeṉṟāl	eːnenraːl
பெயர்	peyar	pejɐɾ
