ខ្ញុំ	khñom	kɲom
ស	sɑɑ	sɑɑ
ខ្មៅ	khmaw	kmav
យប់	yup	yup
ថ្ងៃ	thngay	tŋay
ឆ្នាំ	chnam	cnam
ក្តៅ	ktaw	kdav
ត្រជាក់	trɑcĕək	trɑceak
ពេញ	pɨñ	pɨɲ
ថ្មី	thməy	tməy
ចាស់	cah	cah
ល្អ	lʼɑɑ	lʔɑɑ
អាក្រក់	ʼaakrɑk	ʔaakrɑk
រលួយ	rɔluəy	rɔluəy, kɑmpuk
កខ្វក់	kɑkvɑk	prɑlooh
ត្រង់	trɑng	trɑŋ
មូល	muul	muul
មុត	mut	mut
រឹល	rɨl	rɨl
រាប	riəp	riep
សើម	saəm	tɔtɨk
ស្ងួត	snguət	kriəm
មែន		mɛɛn
ជិត		cɨt
ឆ្ងាយ		cŋaay
ស្ដាំ		sdam
ឆ្វេង		cveeŋ
នៅ		nɨv
ក្នុង		knoŋ
ជាមួយ		cie muə yɔɔ
និង		nɨŋ
បើ		baə
ពីព្រោះ		pii prʊəh
ឈ្មោះ		cmʊəh
